B = 2.49968  Npart = 400
70
   A	-4.50	2.66	-1.25	  5
   A	-2.16	5.91	2.31	  3
   A	1.70	2.84	-3.90	 14
   A	-1.47	-1.49	5.73	 13
   A	-6.54	-1.81	2.10	  1
   A	-6.46	-3.56	4.06	  0
   A	-4.86	-5.54	2.36	  1
   A	2.88	-1.02	-3.98	 17
   A	1.65	-0.67	-3.80	 22
   A	0.21	-0.17	5.57	 21
   A	-3.77	0.17	0.88	  6
   A	-5.59	-2.49	2.03	  1
   A	-3.60	-1.02	-4.63	  8
   A	-4.91	3.40	-3.44	  2
   A	-1.85	0.23	-0.67	 12
   A	0.22	-0.74	0.78	 19
   A	-5.01	2.40	2.58	  2
   A	0.69	4.97	0.67	  7
   A	-2.58	3.35	-0.22	 10
   A	2.44	-1.38	-6.54	 18
   A	-6.79	-0.32	1.33	  1
   A	-2.59	-1.64	-2.64	 14
   A	-1.71	6.01	-1.54	  4
   A	-3.92	-4.80	0.50	  4
   A	-1.02	0.52	1.66	 15
   A	-4.78	-4.05	0.95	  2
   A	-3.76	4.89	-1.26	  4
   A	-0.23	-6.64	1.27	  4
   A	0.65	0.35	0.66	 21
   A	-1.16	0.16	4.23	 17
   A	-6.00	0.67	4.00	  1
   A	1.07	-1.35	-5.34	 20
   A	-2.86	1.88	-5.99	  8
   A	2.06	-5.06	-2.14	  5
   A	-0.80	2.29	-2.17	  9
   A	-5.00	-0.57	3.00	  4
   A	0.54	1.76	0.22	 12
   A	0.46	5.73	-3.66	  6
   A	-1.47	6.05	7.27	  4
   A	-2.01	2.51	-6.50	  7
   A	0.99	6.02	-0.02	  6
   A	-1.84	-1.09	1.05	 12
   A	-7.72	0.97	0.37	  1
   A	-4.22	5.33	2.47	  3
   A	-0.10	-1.86	4.43	 12
   A	-2.50	-5.08	-1.50	 10
   A	3.00	1.43	-4.25	 19
   A	-1.64	-2.46	6.40	  8
   A	2.29	3.97	-0.75	  9
   A	-5.15	2.74	-2.48	  2
   A	2.21	-0.78	2.57	 21
   A	2.41	0.20	7.00	 18
   A	3.07	0.39	-0.60	 18
   A	-2.90	0.25	-5.95	  9
   A	1.89	2.68	-5.62	 13
   A	-5.05	1.58	5.65	  2
   A	-0.90	-4.15	3.42	  9
   A	1.20	1.06	-5.07	 19
   A	3.16	5.92	-0.38	  6
   A	-1.42	1.56	2.26	  8
   A	-5.15	-1.51	3.15	  4
   A	-2.08	2.58	-5.53	  7
   A	-2.06	-3.71	1.34	  8
   A	1.64	3.98	3.31	 10
   A	1.73	-3.55	3.63	  7
   A	0.43	0.94	2.06	 17
   A	2.96	2.15	4.39	 17
   A	-3.34	-4.83	-3.57	  5
   A	3.42	-1.72	1.61	 11
   A	2.80	-3.16	0.66	 12
   A	-0.94	-1.78	-0.78	 13
   A	-0.03	5.68	1.55	  4
   A	-0.46	-1.84	5.13	 13
   A	3.21	0.11	2.34	 14
   A	-3.88	2.30	-4.05	  8
   A	0.37	-2.43	4.50	  8
   A	-6.76	2.19	-3.26	  1
   A	-0.55	-5.46	1.88	 11
   A	1.53	-4.32	1.20	  9
   A	-5.91	-1.50	-1.53	  2
   A	3.50	-2.47	-2.82	 12
   A	1.85	-0.44	1.20	 23
   A	-4.58	-3.45	-1.49	  5
   A	-2.34	3.83	1.64	 10
   A	-2.49	0.27	-2.18	  8
   A	2.05	0.07	-1.10	 22
   A	4.03	-3.36	-1.46	 11
   A	-4.60	5.01	-3.25	  1
   A	-1.09	-4.58	0.73	 12
   A	-3.49	-4.27	-1.97	  5
   A	1.33	-4.17	-4.80	  9
   A	1.40	-2.86	-1.29	 10
   A	5.07	1.48	5.42	 10
   A	-3.20	0.34	4.96	  8
   A	-3.40	-4.71	5.51	  6
   A	-2.38	2.36	-4.75	  7
   A	-0.14	5.07	-1.74	  5
   A	-2.59	3.37	4.28	  9
   A	-1.23	2.07	4.92	  7
   A	-0.16	6.94	-2.62	  2
   A	0.51	2.29	-3.71	 12
   A	-2.09	2.65	2.78	  7
   A	-0.20	-3.66	-3.10	  8
   A	2.79	-3.36	-6.76	 11
   A	-5.33	-1.32	1.70	  2
   A	-3.25	2.64	-5.15	  7
   A	-1.87	-3.18	1.81	  6
   A	-0.98	6.28	2.04	  3
   A	-5.89	5.45	0.32	  0
   A	-3.23	5.04	1.20	  5
   A	-1.97	-1.42	-0.38	 12
   A	2.67	-0.09	-1.74	 19
   A	-1.19	-3.14	4.10	  7
   A	-2.97	1.10	-1.44	  9
   A	0.41	2.84	-4.52	 12
   A	3.43	0.90	-1.81	 17
   A	-4.75	0.74	4.05	  2
   A	-6.28	0.29	-1.21	  1
   A	-1.54	-4.18	-5.66	  9
   A	0.92	-2.96	3.13	 11
   A	-0.96	7.40	1.97	  1
   A	2.84	2.20	2.89	 18
   A	-1.49	-0.85	1.95	 18
   A	-0.34	-4.60	-3.92	 11
   A	-0.77	-0.38	0.95	 19
   A	0.21	3.67	1.86	 10
   A	-0.20	0.15	3.45	 18
   A	3.95	0.81	2.99	 14
   A	-5.38	-0.03	2.18	  2
   A	-2.52	5.63	-1.09	  5
   A	-6.67	6.39	0.17	  0
   A	4.70	-0.98	-3.41	 11
   A	-5.93	2.19	-1.41	  1
   A	-4.45	-0.88	-2.07	  6
   A	2.14	-3.28	-3.03	 12
   A	-0.69	2.50	-2.93	 10
   A	2.31	5.55	-0.43	  7
   A	-0.11	-0.79	-5.53	 19
   A	-3.05	4.35	3.10	  7
   A	-1.45	-3.82	-5.81	  7
   A	-4.09	-3.21	0.52	  7
   A	-4.39	-3.92	-3.48	  2
   A	5.98	-1.33	-3.47	 14
   A	-1.52	1.07	3.55	 11
   A	1.08	-3.10	-4.16	 12
   A	-4.33	-2.35	-3.45	  8
   A	-3.90	-1.96	3.09	  8
   A	2.35	0.88	-1.62	 17
   A	-1.44	2.44	2.41	  8
   A	2.62	-2.75	-1.02	 15
   A	-4.74	-4.59	-3.83	  2
   A	-2.03	3.32	-4.61	  7
   A	3.99	5.14	-2.37	  6
   A	-2.75	-1.77	0.93	 12
   A	-4.23	3.31	-1.88	  5
   A	3.37	3.44	-0.23	 11
   A	-1.91	-2.72	3.45	  9
   A	1.87	-3.73	-0.49	  7
   A	-6.04	0.41	-2.69	  1
   A	0.96	1.01	5.14	 16
   A	5.08	1.92	-0.15	 11
   A	-2.07	-0.16	2.20	 10
   A	-6.46	-0.76	2.20	  1
   A	-4.59	-1.01	1.16	  6
   A	1.52	-0.68	-2.39	 21
   A	0.94	-2.64	-4.63	 11
   A	0.49	-5.33	1.79	  8
   A	-0.78	1.53	0.26	  9
   A	-2.09	-1.71	0.68	 11
   A	-5.72	3.69	1.83	  1
   A	-0.18	-0.03	5.71	 19
   A	1.66	1.49	-0.59	 18
   A	-3.12	-7.14	-0.63	  1
   A	-1.18	-2.04	0.73	 14
   A	-2.52	1.22	3.53	  9
   A	0.22	-0.38	1.31	 21
   A	2.72	-4.03	1.71	  6
   A	-2.86	4.90	-1.67	  7
   A	-1.03	1.64	-4.32	  8
   A	-2.53	-5.44	1.31	  9
   A	-2.89	0.74	2.73	  8
   A	-3.57	1.88	-1.73	  8
   A	-2.19	-1.62	-6.28	 11
   A	3.07	-2.29	2.07	 15
   A	-6.18	-2.49	1.40	  0
   A	-5.12	-4.66	-0.58	  1
   A	-1.29	4.81	3.49	  9
   A	-3.77	1.05	2.97	  7
   A	-3.77	-0.18	-3.10	  5
   A	-1.50	4.84	-3.47	  8
   A	2.18	-4.31	0.03	  6
   A	-1.34	-0.10	5.50	 16
   A	0.27	1.50	-3.42	 13
   A	-7.14	3.03	0.20	  0
   A	-4.69	-3.59	0.57	  4
   A	4.82	-3.69	3.00	  7
   A	-2.74	-3.37	-3.09	  9
   A	-4.99	2.51	3.67	  3
   A	-2.95	-5.69	-1.86	  7
   A	-1.13	-2.67	-6.17	  9
   A	-4.81	-3.08	-2.66	  4
   A	-0.79	4.08	5.20	  7
   A	-0.81	1.10	-4.34	 11
   A	-4.65	-3.12	4.76	  5
   A	1.07	-2.08	1.34	 15
   A	1.35	0.54	1.60	 22
   A	1.77	-2.81	4.80	 14
   A	3.73	-4.84	-0.71	  2
   B	2.65	4.85	7.12	  5
   B	0.92	3.70	-0.16	  8
   B	5.47	2.13	4.88	  2
   B	3.91	-4.97	-3.68	  1
   B	2.75	-2.10	-2.14	 11
   B	-2.19	-5.25	0.16	  7
   B	4.87	-2.19	-2.67	  4
   B	-1.30	3.39	3.88	 15
   B	6.58	-1.18	2.06	  1
   B	7.38	4.86	-0.75	  0
   B	0.88	1.46	-0.53	 10
   B	0.23	-0.02	6.12	 15
   B	2.63	0.74	-4.95	 15
   B	-3.00	3.92	0.07	 10
   B	5.90	2.01	4.01	  2
   B	4.35	-0.23	-3.34	  5
   B	2.94	2.90	-4.85	  7
   B	1.07	-5.08	0.30	  6
   B	1.60	-0.67	-6.07	 15
   B	-2.07	5.19	1.50	 10
   B	-2.90	1.18	-2.29	 14
   B	0.62	4.65	-0.60	  7
   B	-3.50	-5.49	1.08	  8
   B	2.36	-6.14	-3.94	  1
   B	1.18	-0.87	-5.38	 14
   B	-0.29	-3.21	2.10	 13
   B	0.73	-5.71	1.23	  4
   B	2.89	-2.38	-4.43	 10
   B	-2.30	-1.66	-4.78	 13
   B	1.51	-0.80	5.34	 16
   B	4.62	-1.37	5.59	  3
   B	-3.16	1.29	0.02	 13
   B	-1.45	3.58	-3.05	 13
   B	2.77	-2.12	-6.56	 11
   B	1.94	-3.45	2.27	 15
